Name,Goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
Alexander Callens,0.17,1.43,0.8,0.0,3.7,0.0,0.17,0.03,57.37,88.09,44.12,0.87,62.11,59.21,1.07,30,3,2,EEUU MLS,4
Teenage Hadebe,0.09,1.36,2.27,0.0,5.18,0.0,0.14,0.05,51.73,88.66,42.64,1.27,65.08,67.69,0.68,22,2,2,EEUU MLS,4
Jakob Glesnes,0.0,1.32,1.62,0.0,4.19,0.0,0.54,0.11,35.7,81.83,52.29,0.68,54.35,55.5,0.62,37,2,2,EEUU MLS,4
John Tolkin,0.03,2.84,2.34,0.0,1.09,0.0,1.19,0.06,31.72,70.34,35.56,0.94,38.46,58.25,0.88,32,1,2,EEUU MLS,4
Walker Zimmerman,0.13,1.19,1.45,0.06,4.1,0.0,0.42,0.1,48.55,83.12,54.08,1.0,66.23,61.75,0.97,31,2,2,EEUU MLS,4
Diego Palacios,0.03,3.16,1.74,0.0,1.52,0.0,1.26,0.26,47.65,84.43,61.03,1.0,36.96,54.18,1.45,31,1,2,EEUU MLS,4
Claudio Bravo,0.0,4.62,1.81,0.08,1.92,0.0,1.92,0.15,45.0,77.86,42.86,1.12,35.42,53.33,1.69,26,2,2,EEUU MLS,4
Rafael Czichos,0.12,1.65,1.77,0.0,4.08,0.04,0.38,0.04,47.58,82.46,47.67,1.15,56.38,57.14,1.23,26,3,2,EEUU MLS,4
Yeimar Gómez Andrade,0.04,2.0,2.68,0.04,4.32,0.0,0.61,0.0,48.36,84.42,50.3,1.14,65.49,64.5,0.86,28,3,2,EEUU MLS,4
Bill Tuiloma,0.2,0.6,1.07,0.0,3.43,0.0,0.23,0.07,37.67,83.54,49.5,0.97,61.9,56.63,0.9,30,2,2,EEUU MLS,4
Alex Roldán,0.03,2.03,1.06,0.0,1.81,0.0,0.91,0.19,47.66,85.25,55.56,1.0,47.46,57.31,0.63,32,2,2,EEUU MLS,4
Juan Sánchez Purata,0.35,1.06,1.18,0.12,5.24,0.0,0.41,0.0,47.47,83.27,40.22,1.18,61.54,51.15,1.53,17,2,2,EEUU MLS,4
Wyatt Omsberg,0.07,1.29,1.93,0.0,5.36,0.07,0.21,0.07,43.43,72.86,30.87,1.21,64.44,64.44,0.86,14,2,2,EEUU MLS,4
Nathan Harriel,0.04,2.84,1.68,0.0,3.08,0.0,1.16,0.0,23.32,67.58,21.88,0.68,64.56,59.7,1.28,25,1,2,EEUU MLS,4
Francisco Calvo,0.15,1.92,2.69,0.0,1.85,0.08,0.46,0.08,71.77,83.49,48.91,1.92,49.18,57.82,1.15,13,3,2,EEUU MLS,4
Julio Cascante,0.09,1.17,0.83,0.0,3.29,0.03,0.26,0.03,57.23,84.67,56.99,1.31,62.84,61.56,1.17,35,2,2,EEUU MLS,4
Daniel Lovitz,0.03,1.53,0.88,0.06,1.84,0.0,0.41,0.03,37.69,76.95,49.32,0.97,68.0,62.71,0.84,32,3,2,EEUU MLS,4
Nathan Cardoso,0.12,2.35,2.15,0.08,3.46,0.04,1.0,0.0,55.5,86.97,55.0,1.58,73.2,64.84,0.85,26,2,2,EEUU MLS,4
Graham Zusi,0.1,1.52,1.29,0.0,1.76,0.0,0.76,0.29,53.48,81.39,50.22,1.24,53.57,56.67,0.81,21,3,2,EEUU MLS,4
Jesús Murillo,0.09,1.53,1.31,0.0,4.16,0.0,0.47,0.06,40.75,79.98,39.58,0.84,64.6,60.61,1.34,32,2,2,EEUU MLS,4
Jonathan Mensah,0.07,0.7,0.97,0.0,3.97,0.0,0.33,0.0,55.27,88.84,55.68,0.97,56.62,52.58,0.87,30,3,2,EEUU MLS,4
Matt Hedges,0.03,1.07,0.97,0.03,4.53,0.0,0.47,0.03,51.93,84.79,40.1,0.73,56.99,57.58,0.43,30,3,2,EEUU MLS,4
Dave Romney,0.09,0.56,0.81,0.0,3.47,0.03,0.09,0.13,45.63,84.73,45.79,1.0,69.42,67.3,0.28,32,2,2,EEUU MLS,4
Justen Glad,0.11,0.81,1.33,0.04,4.07,0.0,0.41,0.04,48.74,85.79,50.67,0.96,61.36,58.02,1.0,27,2,2,EEUU MLS,4
Henry Kessler,0.05,0.95,0.73,0.14,3.86,0.0,0.23,0.0,53.27,90.44,56.78,1.05,59.77,63.45,0.68,22,2,2,EEUU MLS,4
Antônio Carlos,0.0,1.14,1.59,0.0,4.45,0.0,0.27,0.0,41.91,86.66,57.53,1.18,72.41,65.04,0.86,22,2,2,EEUU MLS,4
Marcelo Silva,0.06,1.25,1.66,0.06,3.5,0.0,0.22,0.0,39.5,89.32,51.38,1.09,63.3,61.66,0.63,32,3,2,EEUU MLS,4
Shaq Moore,0.0,2.67,1.0,0.08,1.25,0.0,0.42,0.17,28.5,77.19,31.03,0.92,72.22,65.31,0.83,12,2,2,EEUU MLS,4
Giorgio Chiellini,0.0,0.85,1.08,0.0,3.15,0.0,0.08,0.08,34.85,82.56,50.7,0.46,64.29,68.33,0.62,13,3,2,EEUU MLS,4
Andrew Brody,0.06,1.31,1.43,0.0,2.03,0.0,0.49,0.23,38.23,82.88,52.0,1.09,45.1,53.39,0.31,35,2,2,EEUU MLS,4
Olivier Mbaizo,0.0,1.27,0.77,0.0,1.0,0.0,0.55,0.32,24.45,78.44,43.9,0.36,36.36,48.7,0.91,22,2,2,EEUU MLS,4
Lalas Abubakar,0.13,1.03,1.53,0.06,2.97,0.06,0.28,0.03,39.56,86.57,45.52,1.09,67.89,57.69,1.31,32,2,2,EEUU MLS,4
João Moutinho,0.07,2.45,1.07,0.03,1.52,0.0,0.38,0.03,48.62,80.0,39.87,1.31,65.57,58.57,1.38,29,2,2,EEUU MLS,4
Daniel Steres,0.11,1.0,1.11,0.06,4.0,0.0,0.11,0.0,52.44,90.78,71.54,1.44,58.62,56.31,1.0,18,3,2,EEUU MLS,4
Maxime Chanot,0.04,0.88,0.88,0.0,3.21,0.0,0.25,0.0,36.5,86.07,53.13,0.83,64.15,64.15,0.5,24,3,2,EEUU MLS,4
Robin Jansson,0.05,1.09,1.09,0.0,3.05,0.0,0.23,0.05,46.18,86.52,62.11,1.18,48.78,61.47,0.59,22,3,2,EEUU MLS,4
Guzmán Corujo,0.04,1.76,1.6,0.0,4.36,0.04,0.8,0.0,48.32,85.51,40.11,1.04,49.28,55.25,0.84,25,2,2,EEUU MLS,4
Damion Lowe,0.03,2.1,1.93,0.07,3.76,0.03,0.55,0.1,43.93,81.0,38.94,1.31,63.38,58.7,1.41,29,2,2,EEUU MLS,4
Alistair Johnston,0.11,1.49,0.94,0.0,1.2,0.0,0.6,0.2,39.37,85.2,52.85,1.11,48.08,50.21,1.37,35,2,2,EEUU MLS,4
Gabriele Corbo,0.0,1.5,0.93,0.0,2.0,0.0,0.36,0.14,47.64,85.91,50.57,1.0,56.52,58.46,0.79,14,1,2,EEUU MLS,4
Carlos Teran,0.05,1.27,1.73,0.0,2.73,0.0,0.36,0.0,35.0,79.61,43.51,1.0,61.22,56.67,0.91,22,1,2,EEUU MLS,4
Thiago Martins,0.0,0.62,0.79,0.0,3.76,0.03,0.17,0.0,53.21,89.24,58.59,0.72,70.0,63.72,0.38,29,2,2,EEUU MLS,4
Andrew Gutman,0.16,2.0,0.96,0.0,1.28,0.0,0.68,0.12,34.08,78.87,39.02,1.32,58.18,57.69,1.36,25,2,2,EEUU MLS,4
Ranko Veselinović,0.03,1.32,1.06,0.1,5.74,0.0,0.32,0.0,34.68,85.4,49.7,1.32,52.63,55.8,0.71,31,1,2,EEUU MLS,4
Andreu Fontàs,0.07,1.32,1.04,0.0,3.43,0.04,0.43,0.04,66.29,87.23,51.91,1.29,56.72,57.96,0.71,28,3,2,EEUU MLS,4
Steve Birnbaum,0.06,0.72,1.91,0.0,3.81,0.0,0.25,0.13,43.66,81.96,49.33,1.78,79.56,67.63,1.41,32,3,2,EEUU MLS,4
