Name,Goals,Headed goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
Kai Wagner,0.0,0.0,1.39,1.69,0.06,1.64,0.0,0.67,0.39,37.06,74.44,6.78,52.44,0.64,71.67,58.85,1.08,36.0,2.0,2.0,EEUU MLS,4.0
Brooks Lennon,0.08,0.0,1.36,0.28,0.0,1.36,0.0,0.48,0.36,38.28,85.89,9.44,42.62,1.28,38.0,49.02,0.56,25.0,2.0,2.0,EEUU MLS,4.0
Domenico Criscito,0.07,0.0,2.53,1.53,0.0,2.4,0.0,0.8,0.07,49.53,83.04,11.33,53.85,1.0,71.43,69.64,0.6,15.0,3.0,2.0,EEUU MLS,4.0
Matthew Miazga,0.17,0.08,1.33,1.5,0.0,4.17,0.0,0.17,0.17,38.25,78.43,2.67,54.43,0.75,78.0,68.18,1.17,12.0,2.0,2.0,EEUU MLS,4.0
Brandon Bye,0.07,0.03,1.41,1.03,0.0,2.59,0.03,0.31,0.21,40.34,78.12,7.31,38.16,1.24,63.64,58.6,1.07,29.0,2.0,2.0,EEUU MLS,4.0
Jack Elliott,0.11,0.06,1.71,1.34,0.03,5.17,0.0,0.6,0.03,38.77,75.83,2.51,42.01,0.66,63.93,59.41,1.06,35.0,2.0,2.0,EEUU MLS,4.0
Alexander Callens,0.17,0.1,1.43,0.8,0.0,3.7,0.0,0.17,0.03,57.37,88.09,5.1,44.12,0.87,62.11,59.21,1.07,30.0,3.0,2.0,EEUU MLS,4.0
Teenage Hadebe,0.09,0.0,1.36,2.27,0.0,5.18,0.0,0.14,0.05,51.73,88.66,2.82,42.64,1.27,65.08,67.69,0.68,22.0,2.0,2.0,EEUU MLS,4.0
Jakob Glesnes,0.0,0.0,1.32,1.62,0.0,4.19,0.0,0.54,0.11,35.7,81.83,3.41,52.29,0.68,54.35,55.5,0.62,37.0,2.0,2.0,EEUU MLS,4.0
John Tolkin,0.03,0.0,2.84,2.34,0.0,1.09,0.0,1.19,0.06,31.72,70.34,7.09,35.56,0.94,38.46,58.25,0.88,32.0,1.0,2.0,EEUU MLS,4.0
Walker Zimmerman,0.13,0.13,1.19,1.45,0.06,4.1,0.0,0.42,0.1,48.55,83.12,3.71,54.08,1.0,66.23,61.75,0.97,31.0,2.0,2.0,EEUU MLS,4.0
Diego Palacios,0.03,0.0,3.16,1.74,0.0,1.52,0.0,1.26,0.26,47.65,84.43,12.39,61.03,1.0,36.96,54.18,1.45,31.0,1.0,2.0,EEUU MLS,4.0
Claudio Bravo,0.0,0.0,4.62,1.81,0.08,1.92,0.0,1.92,0.15,45.0,77.86,10.12,42.86,1.12,35.42,53.33,1.69,26.0,2.0,2.0,EEUU MLS,4.0
Rafael Czichos,0.12,0.12,1.65,1.77,0.0,4.08,0.04,0.38,0.04,47.58,82.46,3.5,47.67,1.15,56.38,57.14,1.23,26.0,3.0,2.0,EEUU MLS,4.0
Yeimar Gómez Andrade,0.04,0.04,2.0,2.68,0.04,4.32,0.0,0.61,0.0,48.36,84.42,3.21,50.3,1.14,65.49,64.5,0.86,28.0,3.0,2.0,EEUU MLS,4.0
Bill Tuiloma,0.2,0.17,0.6,1.07,0.0,3.43,0.0,0.23,0.07,37.67,83.54,3.93,49.5,0.97,61.9,56.63,0.9,30.0,2.0,2.0,EEUU MLS,4.0
Alex Roldán,0.03,0.0,2.03,1.06,0.0,1.81,0.0,0.91,0.19,47.66,85.25,10.94,55.56,1.0,47.46,57.31,0.63,32.0,2.0,2.0,EEUU MLS,4.0
Juan Sánchez Purata,0.35,0.35,1.06,1.18,0.12,5.24,0.0,0.41,0.0,47.47,83.27,2.35,40.22,1.18,61.54,51.15,1.53,17.0,2.0,2.0,EEUU MLS,4.0
Wyatt Omsberg,0.07,0.07,1.29,1.93,0.0,5.36,0.07,0.21,0.07,43.43,72.86,2.36,30.87,1.21,64.44,64.44,0.86,14.0,2.0,2.0,EEUU MLS,4.0
Nathan Harriel,0.04,0.0,2.84,1.68,0.0,3.08,0.0,1.16,0.0,23.32,67.58,4.76,21.88,0.68,64.56,59.7,1.28,25.0,1.0,2.0,EEUU MLS,4.0
Francisco Calvo,0.15,0.15,1.92,2.69,0.0,1.85,0.08,0.46,0.08,71.77,83.49,5.92,48.91,1.92,49.18,57.82,1.15,13.0,3.0,2.0,EEUU MLS,4.0
Julio Cascante,0.09,0.09,1.17,0.83,0.0,3.29,0.03,0.26,0.03,57.23,84.67,6.46,56.99,1.31,62.84,61.56,1.17,35.0,2.0,2.0,EEUU MLS,4.0
Daniel Lovitz,0.03,0.0,1.53,0.88,0.06,1.84,0.0,0.41,0.03,37.69,76.95,7.63,49.32,0.97,68.0,62.71,0.84,32.0,3.0,2.0,EEUU MLS,4.0
Nathan Cardoso,0.12,0.08,2.35,2.15,0.08,3.46,0.04,1.0,0.0,55.5,86.97,2.27,55.0,1.58,73.2,64.84,0.85,26.0,2.0,2.0,EEUU MLS,4.0
Graham Zusi,0.1,0.0,1.52,1.29,0.0,1.76,0.0,0.76,0.29,53.48,81.39,10.52,50.22,1.24,53.57,56.67,0.81,21.0,3.0,2.0,EEUU MLS,4.0
Jesús Murillo,0.09,0.03,1.53,1.31,0.0,4.16,0.0,0.47,0.06,40.75,79.98,2.91,39.58,0.84,64.6,60.61,1.34,32.0,2.0,2.0,EEUU MLS,4.0
