Name,Goals,Headed goals,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Goals conceded inside the box,Aerial duels won %,Total duels won %,Fouls,Appearances,Age Range,Position,League,Level
Beder Caicedo,0.07,0.0,1.33,0.27,0.07,1.13,0.0,0.33,0.0,0.2673,0.818,0.00507,0.375,0.8,0.6667000000000001,0.5211,1.13,15.0,3.0,2.0,Ecuador Serie A,3.0
Juan Alvacete,0.0,0.0,1.07,0.73,0.0,3.07,0.0,0.4,0.0,0.2673,0.7531,0.00253,0.2989,1.0,0.5294,0.5345,0.67,15.0,3.0,2.0,Ecuador Serie A,3.0
Andres Arroyo,0.13,0.13,1.26,1.43,0.13,3.7,0.0,0.57,0.0,0.21780000000000002,0.5788,0.00222,0.32939999999999997,1.43,0.5980000000000001,0.5333,1.83,23.0,1.0,2.0,Ecuador Serie A,3.0
Bryan Nazareno,0.06,0.0,0.53,1.06,0.06,0.82,0.0,0.29,0.0,0.1524,0.7181000000000001,0.00318,0.3729,1.0,0.35710000000000003,0.44439999999999996,0.82,17.0,1.0,2.0,Ecuador Serie A,3.0
Richard Farias,0.0,0.0,0.45,0.64,0.09,0.64,0.0,0.64,0.09,0.1973,0.8618000000000001,0.00345,0.6774,0.55,0.7143,0.5660000000000001,0.73,11.0,2.0,2.0,Ecuador Serie A,3.0
William Vargas,0.03,0.0,0.62,0.38,0.03,1.41,0.0,0.34,0.03,0.2641,0.8132999999999998,0.00376,0.4545,1.07,0.5455,0.5067999999999999,0.76,29.0,2.0,2.0,Ecuador Serie A,3.0
Federico Arbeláez,0.0,0.0,1.35,0.82,0.06,1.29,0.0,0.24,0.0,0.2976,0.7569,0.00424,0.3049,0.94,0.5909,0.5859000000000001,0.88,17.0,2.0,2.0,Ecuador Serie A,3.0
Byron Torrez,0.0,0.0,1.4,1.1,0.0,1.5,0.0,0.7,0.05,0.18,0.7583,0.00295,0.2778,1.4,0.65,0.5896,0.6,20.0,2.0,2.0,Ecuador Serie A,3.0
Roberto Luzárraga,0.0,0.0,0.42,0.58,0.17,2.42,0.0,0.33,0.0,0.2025,0.6584,0.001,0.40850000000000003,0.75,0.7878999999999999,0.5231,1.42,12.0,3.0,2.0,Ecuador Serie A,3.0
Marlon Mejía,0.0,0.0,0.25,1.0,0.0,2.17,0.0,0.17,0.08,0.25579999999999997,0.8143,0.00133,0.4808,0.75,0.5938000000000001,0.5082,1.08,12.0,2.0,2.0,Ecuador Serie A,3.0
Edgar Lastre,0.06,0.0,0.06,0.06,0.06,0.17,0.0,0.06,0.0,0.06,0.7685,0.00183,0.7,0.44,0.5,0.5,0.33,18.0,1.0,2.0,Ecuador Serie A,3.0
Jhonnier Estrada,0.0,0.0,0.36,0.82,0.0,1.82,0.0,0.45,0.0,0.2509,0.7609,0.00209,0.3778,0.64,0.5832999999999999,0.3846,1.09,11.0,2.0,2.0,Ecuador Serie A,3.0
Dubar Enríquez,0.0,0.0,0.42,0.5,0.0,2.17,0.0,0.25,0.0,0.1075,0.6744,0.001,0.46340000000000003,1.08,0.5,0.5690000000000001,0.33,12.0,3.0,2.0,Ecuador Serie A,3.0
Marlon Quiñónez,0.0,0.0,0.56,0.61,0.0,1.72,0.0,0.11,0.0,0.2539,0.6893,0.004389999999999999,0.3587,0.78,0.5429,0.5385,0.72,18.0,1.0,2.0,Ecuador Serie A,3.0
Franklin Carabali,0.0,0.0,0.64,0.57,0.07,2.29,0.0,0.43,0.0,0.2086,0.7329000000000001,0.0023599999999999997,0.36920000000000003,0.93,0.6364,0.5,1.21,14.0,2.0,2.0,Ecuador Serie A,3.0
Jose Luis Monaga Quinonez,0.0,0.0,0.86,0.45,0.09,0.77,0.0,0.45,0.05,0.1841,0.7259,0.00377,0.38239999999999996,0.82,0.5484,0.4841,1.36,22.0,2.0,2.0,Ecuador Serie A,3.0
Rody Zambrano,0.0,0.0,0.57,0.62,0.1,1.0,0.0,0.57,0.05,0.19,0.6967,0.00319,0.3,1.0,0.5625,0.3796,1.67,21.0,2.0,2.0,Ecuador Serie A,3.0
Josué Cuero,0.0,0.0,1.11,1.06,0.0,1.56,0.0,0.5,0.0,0.1644,0.6182000000000001,0.002,0.26,0.94,0.5,0.49,1.33,18.0,1.0,2.0,Ecuador Serie A,3.0
Matias Ferreira,0.0,0.0,0.5,0.57,0.0,0.64,0.0,0.21,0.0,0.06639999999999999,0.6452,0.0007099999999999999,0.3478,0.79,0.0,0.4483,0.5,14.0,2.0,2.0,Ecuador Serie A,3.0
Kai Wagner,0.0,0.0,1.39,1.69,0.06,1.64,0.0,0.67,0.39,0.37060000000000004,0.7444,0.0067800000000000004,0.5244,0.64,0.7167,0.5884999999999999,1.08,36.0,2.0,2.0,EEUU MLS,4.0
Brooks Lennon,0.08,0.0,1.36,0.28,0.0,1.36,0.0,0.48,0.36,0.38280000000000003,0.8589,0.009439999999999999,0.42619999999999997,1.28,0.38,0.4902,0.56,25.0,2.0,2.0,EEUU MLS,4.0
Domenico Criscito,0.07,0.0,2.53,1.53,0.0,2.4,0.0,0.8,0.07,0.4953,0.8304,0.01133,0.5385,1.0,0.7143,0.6964,0.6,15.0,3.0,2.0,EEUU MLS,4.0
Matthew Miazga,0.17,0.08,1.33,1.5,0.0,4.17,0.0,0.17,0.17,0.3825,0.7843000000000001,0.00267,0.5442999999999999,0.75,0.78,0.6818000000000001,1.17,12.0,2.0,2.0,EEUU MLS,4.0
Brandon Bye,0.07,0.03,1.41,1.03,0.0,2.59,0.03,0.31,0.21,0.40340000000000004,0.7812,0.00731,0.38159999999999994,1.24,0.6364,0.586,1.07,29.0,2.0,2.0,EEUU MLS,4.0
Jack Elliott,0.11,0.06,1.71,1.34,0.03,5.17,0.0,0.6,0.03,0.38769999999999993,0.7583,0.00251,0.4201,0.66,0.6393,0.5941,1.06,35.0,2.0,2.0,EEUU MLS,4.0
Alexander Callens,0.17,0.1,1.43,0.8,0.0,3.7,0.0,0.17,0.03,0.5737000000000001,0.8809,0.0051,0.4412,0.87,0.6211,0.5921,1.07,30.0,3.0,2.0,EEUU MLS,4.0
Teenage Hadebe,0.09,0.0,1.36,2.27,0.0,5.18,0.0,0.14,0.05,0.5173000000000001,0.8865999999999999,0.0028199999999999996,0.4264,1.27,0.6507999999999999,0.6769,0.68,22.0,2.0,2.0,EEUU MLS,4.0
Jakob Glesnes,0.0,0.0,1.32,1.62,0.0,4.19,0.0,0.54,0.11,0.35700000000000004,0.8183,0.0034100000000000003,0.5229,0.68,0.5435000000000001,0.555,0.62,37.0,2.0,2.0,EEUU MLS,4.0
John Tolkin,0.03,0.0,2.84,2.34,0.0,1.09,0.0,1.19,0.06,0.31720000000000004,0.7034,0.00709,0.3556,0.94,0.3846,0.5825,0.88,32.0,1.0,2.0,EEUU MLS,4.0
Walker Zimmerman,0.13,0.13,1.19,1.45,0.06,4.1,0.0,0.42,0.1,0.48550000000000004,0.8312,0.0037099999999999998,0.5408000000000001,1.0,0.6623,0.6175,0.97,31.0,2.0,2.0,EEUU MLS,4.0
