Name,Goals,Successful dribbles %,Total shots,Set piece conversion %,Tackles,Interceptions,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Ruan Oliveira,0.11,6.537999999999999,0.79,0.175,1.26,0.42,1.21,0.11,0.05,1.584,7.874,0.363,4.545,0.909,4.4350000000000005,0.68,1.0,19.0,1.0,3.0,Brasil Serie A,2.0
Lucas Sasha,0.0,5.0,0.42,0.0,3.05,1.42,1.95,0.0,0.05,2.721,8.684999999999999,0.484,4.286,3.3329999999999997,4.91,0.74,1.68,19.0,3.0,3.0,Brasil Serie A,2.0
Rodrigo Battaglia,0.0,7.273000000000001,0.77,0.0,1.77,0.55,0.77,0.05,0.05,4.3950000000000005,8.821,0.8140000000000001,5.273,5.0,5.122,1.0,1.91,22.0,3.0,3.0,Brasil Serie A,2.0
Robson,0.38,4.286,1.34,0.0,1.63,0.63,1.13,0.09,0.13,2.034,6.6819999999999995,0.5,4.375,4.793,4.444,1.5,1.91,32.0,3.0,3.0,Brasil Serie A,2.0
Guilherme Augusto,0.1,4.651,1.23,0.0,0.93,0.53,0.47,0.1,0.1,1.427,7.220000000000001,0.377,4.13,4.0,5.1240000000000006,1.03,0.4,30.0,2.0,3.0,Brasil Serie A,2.0
Maycon,0.06,5.789,0.69,0.0,1.34,1.03,1.09,0.16,0.09,4.497,8.527,0.8560000000000001,5.247999999999999,2.424,3.9659999999999997,0.28,0.84,32.0,2.0,3.0,Brasil Serie A,2.0
Victor Hugo,0.03,6.939,0.5,0.0,1.03,0.43,0.67,0.17,0.07,2.19,8.645,0.63,5.313000000000001,4.571,5.622,0.77,0.4,30.0,1.0,3.0,Brasil Serie A,2.0
Marcos Paulo,0.13,4.571,0.8,0.0,0.47,0.4,0.73,0.2,0.07,1.247,7.861,0.453,6.364,2.857,3.6450000000000005,0.8,0.53,15.0,1.0,3.0,Brasil Serie A,2.0
Júnior Santos,0.19,5.172,1.86,0.0,1.0,0.32,0.41,0.11,0.03,1.784,7.758,0.516,4.737,4.125,4.55,1.0,1.14,37.0,2.0,3.0,Brasil Serie A,2.0
Bruno Gomes,0.1,5.3229999999999995,1.38,0.0,1.93,1.14,1.48,0.07,0.03,2.952,7.85,0.762,4.884,3.617,5.015,1.97,1.38,29.0,1.0,3.0,Brasil Serie A,2.0
Marinho,0.08,4.348,1.68,0.067,0.68,0.12,0.84,0.08,0.04,1.192,8.054,0.46799999999999997,7.2,2.632,5.2170000000000005,2.68,0.84,25.0,3.0,3.0,Brasil Serie A,2.0
Wesley,0.14,5.493,1.66,0.0,1.24,0.41,1.03,0.07,0.03,1.797,7.083,0.624,5.625,6.023,5.088,1.55,1.76,29.0,1.0,3.0,Brasil Serie A,2.0
Jhon Jhon,0.0,6.25,0.6,0.0,0.95,0.45,0.6,0.25,0.05,1.3599999999999999,8.015,0.42000000000000004,7.353,2.6670000000000003,4.0,0.65,1.05,20.0,1.0,3.0,Brasil Serie A,2.0
Bruno Praxedes,0.05,6.786,1.05,0.0,1.55,0.55,0.86,0.09,0.09,2.909,8.062999999999999,0.577,4.915,3.529,5.0920000000000005,0.86,0.91,22.0,1.0,3.0,Brasil Serie A,2.0
Rodrigo Nestor,0.04,6.667,1.4,0.0,0.92,0.44,0.92,0.36,0.08,2.444,8.478,0.6799999999999999,6.976999999999999,4.074,4.693,0.8,1.16,25.0,1.0,3.0,Brasil Serie A,2.0
Everton Morelli,0.09,4.483,1.0,0.0,2.16,0.88,0.81,0.03,0.0,2.959,8.226,0.534,4.471,5.349,5.25,1.97,1.84,32.0,2.0,3.0,Brasil Serie A,2.0
Michel Araújo,0.06,6.117,1.13,0.0,1.16,0.34,0.88,0.09,0.03,2.7969999999999997,8.57,0.772,6.970000000000001,4.648,5.072,1.31,1.03,32.0,2.0,3.0,Brasil Serie A,2.0
Thiago Santos,0.0,6.667,0.38,0.0,1.06,1.0,0.56,0.0,0.0,3.931,8.49,0.394,5.172,7.188,5.644,0.56,1.19,16.0,3.0,3.0,Brasil Serie A,2.0
Yago Pikachu,0.19,4.090999999999999,1.22,0.0,0.54,0.35,0.54,0.14,0.03,1.432,8.132,0.449,5.745,1.786,4.286,0.78,0.3,37.0,3.0,3.0,Brasil Serie A,2.0
Matheus Jussa,0.04,8.125,0.88,0.0,1.42,0.63,0.46,0.0,0.0,3.2960000000000003,8.369,0.521,4.588,5.306,4.848,0.29,1.83,24.0,2.0,3.0,Brasil Serie A,2.0
Andrey,0.04,6.667,0.77,0.0,1.42,0.77,0.81,0.08,0.0,2.592,8.843,0.454,6.537999999999999,6.522,5.29,0.62,1.0,26.0,2.0,3.0,Brasil Serie A,2.0
Matheus Bianqui,0.07,5.385,1.04,0.0,1.57,0.71,0.68,0.07,0.04,1.607,7.156000000000001,0.254,4.038,5.181,5.149,1.0,1.43,28.0,2.0,3.0,Brasil Serie A,2.0
Juninho,0.08,5.758,0.78,0.0,1.22,0.86,1.0,0.11,0.06,2.508,7.442,0.6809999999999999,3.7310000000000003,3.692,4.583,1.03,0.86,36.0,3.0,3.0,Brasil Serie A,2.0
Matías Zaracho,0.07,7.941,0.78,0.0,2.63,1.15,2.41,0.07,0.04,3.3590000000000004,8.699,0.756,5.333,2.075,4.1899999999999995,1.04,1.74,27.0,2.0,3.0,Brasil Serie A,2.0
Danilo Barbosa,0.13,6.8420000000000005,0.43,0.0,0.78,0.7,0.3,0.0,0.0,2.013,8.035,0.37,5.2,6.4,5.736,1.17,0.7,23.0,2.0,3.0,Brasil Serie A,2.0
Rômulo,0.05,3.75,0.65,0.0,1.3,0.85,0.45,0.0,0.0,2.9850000000000003,8.409,0.445,3.529,5.61,5.896,1.35,0.9,20.0,1.0,3.0,Brasil Serie A,2.0
Lucas Moura,0.07,6.14,1.07,0.0,0.43,0.5,0.79,0.0,0.0,2.429,7.587999999999999,0.843,5.0,5.6,5.188000000000001,2.07,0.79,14.0,3.0,3.0,Brasil Serie A,2.0
Henry Mosquera,0.1,5.446,1.33,0.0,0.76,0.05,0.29,0.24,0.1,1.557,7.9510000000000005,0.705,5.0,2.5,4.439,0.95,1.38,21.0,1.0,3.0,Brasil Serie A,2.0
