#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
363,,Kyriakos Aslanidis,0,0,0,92.31,0.2,0
364,,Giannis Theodosoulakis,0,0,50,31.82,0.83,1.17
365,,Ilias Chatzitheodoridis,0.22,0,80,60.32,0.83,0.94
366,,Anthony Knockaert,0.22,0,0,39.53,0.33,1
367,,Sotiris Tsiloulis,0.23,0,44.44,40.56,1.12,1.73
368,,Stefan Stojanović,0,0,0,100,0.38,0
369,,Vasilios Athanasiou,0.11,0,0,100,0.22,0
370,,Stavros Vasilantonopoulos,0,0,33.33,57.89,1,0.33
371,,Stefan Aškovski,0.13,0,27.27,36.84,0.56,0.69
372,,Efstathios Tachatos,0.14,0,53.85,44.29,0.86,1.29
373,,Thomas Murg,0,0,0,0,0,0
374,,Ivan Goranov,0.12,0.06,57.14,43.3,0.59,1.24
375,,Victor Fernandez,0,0,66.67,43.24,1.14,1.29
376,,Nikos Ioannidis,0.15,0,57.14,37.25,0.62,1.23
377,,Giorgos Manousos,0.26,0.04,29.63,39.01,1.48,1.3
378,,Dimitrios Manos,0,0,25,33.33,0.1,0.3
379,,Giannis Ikonomidis,0.11,0,57.14,42.86,0.44,1.17
380,,Nikolaos Marinakis,0.23,0,33.33,50,0.54,0.31
381,,Michael Gardawski,0.38,0.05,27.78,53.04,0.95,1.48
382,,Alexis Trouillet,0,0,0,0,0,0
383,,Rayan Edrees Fallatah,0,0,0,0,0,0
384,,Ilias Panagiotis Christopoulos,0,0,0,0,0,0
385,,José Luis Valiente,0,0,0,0,0,0
386,,Panagiotis Anastasopoulos,1,0,0,33.33,1,1
387,,Savvas Gentsoglou,0,0,40,36.36,1,2
388,,Ilias Tselios,0,0,0,0,0,0
389,,Eneko Capilla,0,0,0,0,0,0
390,,Konstantinos Provydakis,0,0,100,100,0,0
391,,Felipe Pires,0.12,0.06,42.86,35.14,0.65,1.12
392,,Ergys Kaçe,0.08,0,0,40.82,0.92,1.08
393,,Oluwatobiloba Alagbe,0,0.1,47.06,41.94,0.7,1.7
394,,Antonis Dentakis,0,0,50,53.19,0.8,0.8
395,,Konstantinos Kotsopoulos,0.11,0,42.86,31.58,1.11,1.11
396,,Jean-Baptiste Leo,0,0,0,28.57,0,0
397,,Abdul Rahman Weiss,0.27,0,42.86,41.67,0.82,1.45
398,,Federico Milo,0.29,0,66.67,30.77,0.29,1.14
399,,Mesaque Dju,0.1,0,33.33,26.92,0.7,1.4
400,,Konrad de la Fuente,0,0,0,37.5,0.67,0.67
401,,Kyriakos Kivrakidis,0.33,0.33,66.67,55.56,1.67,2
402,,Paris Babis,0,0,50,53.33,0.4,0.8
403,,Theodoros Tsirigotis,0,0,28.57,47.62,0.5,0.33
404,,Matic Kotnik,0,0,0,0,0,0.2
405,,Christos Voutsas,0,0,0,0,0,1.5
