#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
339,,Ismael Koné,0.06,0.06,25.13,83.33,7.13,75
340,,Josh Koroma,0.11,0.05,13.26,65.48,3.32,31.82
341,,Lyle Foster,0,0,9.18,78.22,2.36,100
342,,Timm Klose,0,0,23.5,71.91,1,29.73
343,,Tom McIntyre,0.05,0.03,36.16,75.69,4.32,39.9
344,,Tyrese Campbell,0.15,0.12,15.93,66,5.29,29.63
345,,Mark Sykes,0.11,0,23.25,69.77,5.69,28.83
346,,John Buckley,0,0.05,41.1,78.68,7.24,47.33
347,,Jordan Rhodes,0.03,0,9.62,65.44,2.32,38.89
348,,Pelly Ruddock Mpanzu,0.07,0.03,26.8,76.37,7.2,50
349,,Romaine Sawyers,0.08,0,27.11,80.46,7.08,64
350,,Jack Rudoni,0.11,0.11,28.91,73.68,6.85,34.97
351,,Daniel Johnson,0.09,0.09,27.59,77.51,8.79,40.23
352,,Tom Cleverley,0,0,25.75,75.73,7.75,22.22
353,,Admiral Muskwe,0,0,11.5,82.61,6,50
354,,Ryan Andrews,0,0,33.5,72.14,5.5,26.92
355,,Samuel Kalu,0.11,0,7.44,82.09,2.67,83.33
356,,Curtis Nelson,0,0,31.96,71.61,2.15,34.67
357,,Ozan Tufan,0.05,0,21.48,79.27,5.02,58.11
358,,Tommy Conway,0.15,0.09,9.82,80.24,3.79,30.77
359,,Sammie Szmodics,0.09,0.06,20.38,80.95,5.12,68.09
360,,Tim Iroegbunam,0.03,0,26.44,78.84,6.28,55.36
361,,Andy King,0,0.04,27.35,76.79,4,34.62
362,,Marcus Forss,0.05,0.13,10.03,78.48,2.79,30
363,,Jason Kerr,0.06,0.06,37.69,70.65,3.5,31.97
364,,Vakoun Issouf Bayo,0.13,0.04,8.08,72.16,2.42,60
365,,Liam Walsh,0.14,0.14,29.29,84.88,7,44.44
366,,Aaron Drewe,0,0,17.57,55.28,3.86,16.67
367,,Tyrhys Dolan,0.13,0.15,16.65,79.43,5.45,37.04
368,,Callum Robinson,0.23,0.23,15.77,76.1,6.23,75.86
369,,Cameron Humphreys,0.03,0,28.05,69.89,2.95,39.27
370,,Connor Wickham,0.08,0.17,9.42,60.18,1.83,83.33
371,,Enda Stevens,0.17,0.17,22.75,70.7,6.33,50
372,,Mamadou Loum,0,0.03,27.72,75.75,3.48,38.55
373,,Jaden Philogene-Bidace,0.05,0.03,14.65,73.99,4.11,37.78
374,,Luke Berry,0,0,8.05,64.5,2.1,54.55
375,,Jordan Lawrence-Gabriel,0.1,0.05,21.6,64.12,3.55,32.88
376,,Patrick Bauer,0,0,28.33,82.94,1.17,60
377,,Rodrigo Muniz,0.06,0,5.35,51.65,1.47,100
378,,Morgan Rogers,0.2,0.05,16.35,62.39,4.95,58.62
379,,Etienne Camara,0.1,0,29.1,78.01,3.4,45.71
380,,Andrew Fisher,0,0,29.77,68.35,0.38,27.69
381,,Daniel Ward,0.08,0.11,11.92,55.71,2.81,42.86
382,,Charlie Wyke,0.11,0.11,10.39,56.68,3.39,66.67
383,,Callum Styles,0.09,0.05,20.77,78.12,5.14,41.67
384,,Femi Azeez,0.05,0.1,8.15,68.1,2.85,47.06
385,,Oliver Burke,0,0.12,15.65,69.17,4.65,55.56
386,,Michael Rose,0,0,34.88,76.46,2.29,50.34
387,,Elliot Embleton,0.04,0.09,20.57,80.34,6.17,33.33
388,,Tomáš Kalas,0,0,24.38,85.13,0.88,29.17
389,,Josh Bowler,0.04,0.04,14.12,76.2,5.92,61.54
390,,John Fleck,0.15,0.04,17.46,79.96,5.54,48.65
391,,Dujon Sterling,0.04,0,32.62,75,7.65,38.58
392,,Lynden Gooch,0.07,0.1,36.47,75.59,7.8,34.19
393,,Rhys Norrington-Davies,0,0,42.47,75.98,9.4,39.29
394,,Lewie Coyle,0.15,0.05,29.15,73.97,5.24,31.07
395,,Danny McNamara,0.02,0.02,32.64,68.85,7.4,28.02
396,,Shane Ferguson,0.06,0.16,10.29,74.61,3.61,46
397,,Matthew Lowton,0,0,32,67.97,6,48.39
398,,Keinan Davis,0.12,0.06,16.71,80.46,5.47,84.38
399,,Jonathan Hogg,0.03,0.03,37.57,81.46,5.2,44.09
400,,Steven Benda,0,0,25.33,68.98,0.76,27.98
401,,Daniel Bentley,0,0,28.92,47.61,1.08,29.75
402,,Scott Hogan,0.05,0.03,10.7,72.47,2.51,27.27
403,,George Friend,0,0,12.83,59.74,2.67,53.33
404,,Hakeem Odofin,0,0,14.7,48.82,2.83,16.33
405,,Georgie Kelly,0.03,0,5.21,46.36,0.86,0
