#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
369,,Juan Larios,0,0,11,80,2.4,33.33
370,,Scott McKenna,0.1,0,35,79.29,2.5,37
371,,James Garner,0,0.06,18.63,80.87,4.44,36
372,,Matt Targett,0.06,0,19.29,81.71,3.94,34.62
373,,Nathan Patterson,0.05,0,24.84,79.87,5.26,30
374,,Anthony Gordon,0.06,0,13.69,79.68,4.16,47.37
375,,Victor Kristiansen,0.08,0.08,30.33,69.51,4.75,28.57
376,,Illan Meslier,0,0,24.79,56.11,0.62,25.05
377,,Emmanuel Dennis,0.05,0.11,8.84,70.83,2.95,66.67
378,,Shandon Baptiste,0.09,0.04,12.13,86.02,2.87,59.09
379,,Bobby Decordova-Reid,0.06,0.03,21.72,72.38,5.75,33.87
380,,Sékou Mara,0.14,0.09,4.68,66.02,1.32,33.33
381,,Rúben Vinagre,0,0,9,66.67,1,0
382,,Kieran Tierney,0,0.04,14.85,78.05,3.7,30.36
383,,Samuel Edozie,0,0,8.94,71.71,2.71,28.57
384,,Ben Johnson,0,0,26.82,73.03,3.53,28.38
385,,Clément Lenglet,0.04,0.08,55.31,87.48,4.62,46.95
386,,Elliot Anderson,0.09,0.05,8.41,77.84,3.23,36.36
387,,Jonny Otto,0.06,0,38.44,84.1,7.89,65.85
388,,Ryan Christie,0.03,0.03,19.16,82.71,5.47,53.66
389,,Rayan Aït Nouri,0.05,0,22.57,81.86,5.19,26.92
390,,Ryan Sessegnon,0.12,0,17.06,73.45,3.47,33.33
391,,Flynn Downes,0,0,15.57,88.38,2.71,62.5
392,,Odsonne Édouard,0.03,0.06,11.6,72.66,3.43,20
393,,Gustavo Scarpa,0,0,11.83,67.61,3.67,50
394,,Carlos Alcaraz,0.06,0.11,15.72,78.09,3.28,42.86
395,,Chris Wood,0,0,7.08,61.58,1.48,60
396,,Mohamed Elyounoussi,0.09,0.03,17.61,69.02,4.88,50
397,,Manuel Lanzini,0.1,0,17.3,84.39,4.1,57.14
398,,Matt Ritchie,0,0,4.14,79.31,1.29,50
399,,Aaron Hickey,0.04,0.04,27.96,84.73,5.58,54
400,,Álex Moreno,0.11,0.16,30.47,79.45,5.32,30
401,,Jaidon Anthony,0,0.03,15.37,78.09,4.77,47.06
402,,Theo Walcott,0.15,0.1,12,72.92,3.25,18.18
403,,Edward Nketiah,0.07,0.03,8.33,81.6,3.1,60
404,,Wilfried Gnonto,0.13,0.17,18.88,77.04,7,20
405,,Bryan Gil,0,0.25,14.25,80.7,5.25,50
406,,Robin Koch,0,0,44.11,77.33,4.36,36.14
