Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Boulaye Dia,0.48,0.15,47.3,1.45,0,0,0.36,0.21,0,0.82,0,0.15,0.12,0.18,17.48,77.3,5.15,62.96,0,0.06,0,0,1.15,0.24,0.12,0,25.64,36.54,1.3,0.85,33
Theo Hernández,0.13,0.09,34.55,1.63,0,0,1.34,0.66,0,1,0.03,0.5,0.09,0.09,43.22,81.06,8.13,46.92,0,0.28,0,0,0.91,0.06,0.22,0,71.7,59.09,1.78,0.69,32
Stefan de Vrij,0.04,0.04,80,0.74,0.04,0,1.04,1.48,0.04,2.93,0,0.22,0,0,44.52,89.52,1.81,49.46,0,0.3,0,0,0.78,0.15,0.15,0,73.45,68.36,0.26,0.56,27
Nehuén Pérez,0.06,0,45.45,0.47,0.06,0,2.26,1.03,0,2.76,0,0.47,0,0,49.03,86.38,5.03,55.85,0,0.21,0,0,1.09,0.06,0.21,0.03,62.07,61.24,0.32,0.85,34
Antonio Sanabria,0.36,0.27,67.65,2.06,0.06,0,0.33,0.12,0,0.21,0,0.18,0.21,0.12,20.82,76.27,5.82,68.18,0,0.09,0,0,0.79,0.15,0.12,0,40.57,42.61,0.82,1,33
Ricardo Rodríguez,0,0,58.33,0.31,0,0,1.54,1.09,0,1.57,0,0.37,0.03,0,45.4,84.08,6.97,45.03,0,0.23,0,0,0.71,0.17,0.09,0,50.85,54.4,0.23,0.71,35
Emil Audero,0,0,0,0,0,0,0,0,0,0.6,0,0.08,0,0,32.4,63.58,1.2,41.55,3.36,0.16,0.28,0.08,1.4,0.16,0.04,0,100,80,0.08,0,25
Sandi Lovrić,0.14,0.03,41.18,1.92,0,0,1.08,0.7,0,0.51,0,0.49,0.05,0.16,23.73,83.94,6.65,63.41,0,0.03,0,0,0.81,0.11,0.11,0,30.43,47,0.89,0.84,37
Daniele Rugani,0,0.11,100,0.44,0,0,0.78,0.78,0,3.44,0,0,0,0,29.11,88.17,1.11,32.14,0,0.44,0,0,0.22,0,0,0,55,57.58,0,0.56,9
Matías Viña,0,0,100,0,0,0,1,0.67,0,1,0,0.67,0,0,6,77.78,1.67,50,0,0,0,0,0.33,0,0,0,100,50,0.33,1.33,3
Guillermo Ochoa,0,0,0,0,0,0,0,0,0,0.65,0,0.1,0,0,35.55,55.56,1.25,33.82,3.65,0.2,0.2,0.05,1.4,0.25,0.05,0,100,60,0.05,0,20
Alex Sandro,0,0.04,82.61,0.2,0,0,1.4,0.6,0,2.48,0.04,0.28,0.08,0.04,44.64,87.54,7.44,66.36,0,0.36,0,0,0.8,0,0.2,0.04,63.93,60.82,1,1.08,25
Morten Hjulmand,0,0,85,0.49,0,0,2.57,2.06,0.03,1.51,0,0.86,0.09,0.11,37.17,79.32,7.83,52.78,0,0.09,0,0,1.06,0.2,0.26,0.03,58.57,56.88,1.09,1.74,35
Dušan Vlahović,0.37,0.33,43.75,2.52,0.04,1.85,0.41,0.11,0,0.3,0.04,0.22,0.15,0.07,13.81,72.12,3.56,62.07,0,0.15,0,0,0.7,0.04,0.04,0,38.71,39.55,0.96,0.7,27
Lorenzo Montipò,0,0,0,0,0,0,0.05,0,0,1.11,0.03,0.08,0,0,29,58.17,3.45,45.54,3.53,0.13,0.08,0.05,1.26,0.32,0.08,0,66.67,68.75,0.13,0,38
Matteo Politano,0.11,0.07,47.92,1.22,0,0,0.67,0.26,0,0.22,0,0.52,0.26,0.11,19.78,81.84,8.07,50,0,0,0,0,0.37,0.07,0.04,0,33.33,50,0.81,0.41,27
Vanja Milinković-Savić,0,0,0,0,0,0,0.05,0.03,0,1,0,0,0.03,0,42.26,57.91,4.29,32.63,2.53,0.29,0.16,0,0.89,0.18,0.11,0,85.71,85.71,0.11,0,38
Wladimiro Falcone,0,0,0,0,0,0,0.05,0.05,0.03,1.32,0.08,0,0,0,26.71,44.83,0.82,29.39,2.97,0.16,0.16,0.03,1.03,0.18,0.05,0,85.71,86.36,0.13,0.03,38
Vlad Chiricheş,0,0,100,0,0,0,2.19,1.38,0,2.75,0,0.5,0,0,25.63,83.9,1.31,53.23,0,0.06,0,0,1.13,0.13,0.13,0,45,56.14,0.5,1,16
Manolo Gabbiadini,0.2,0.14,28.57,2.06,0,0,0.66,0.17,0,0.71,0,0.4,0.26,0.06,16.91,70.95,4.86,40,0,0,0,0,1.31,0.09,0.17,0,37.93,45.25,1.91,1.17,35
Samir Handanović,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,36.29,89.96,0.79,59.17,2.5,0.29,0.07,0,1.14,0.14,0,0,0,0,0,0,14
