#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
383,,Yayah Kallon,0.14,0.05,9,68.69,2.91,37.5
384,,Bartosz Bereszyński,0.06,0.06,31.22,76.16,6,34.43
385,,Mile Svilar,0,0,21.33,56.25,2,36.36
386,,João Moutinho,0,0,7.75,80.65,2.75,50
387,,Federico Ceccherini,0,0,26.77,77.59,4.09,44.58
388,,Ruan,0,0,40.65,88.98,1.35,58.46
389,,Martin Hongla,0.11,0,22.56,80.79,4.56,41.38
390,,Jeremy Toljan,0.13,0.03,42.06,83.74,8.29,48.76
391,,Fabio Quagliarella,0,0.04,9.87,68.28,3,48.28
392,,Jesé Rodríguez,0.09,0.09,5.73,71.43,1.09,75
393,,Mehdi Léris,0.06,0.03,25.84,70.01,6.47,46.67
394,,Abdou Harroui,0.04,0,12.83,84.41,3.87,27.27
395,,Raoul Bellanova,0.06,0,13.44,83.06,2.78,57.14
396,,Alfred Duncan,0.04,0,20.2,80.79,5.68,50
397,,Tomás Rincón,0.06,0.06,35.74,82.96,7,56.95
398,,Josh Doig,0.09,0.14,16.77,69.92,3.73,35.71
399,,Nicolas Haas,0.04,0.04,16.46,76.2,3.13,57.14
