#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
357,,Evann Guessand,0.07,0.07,9.07,70.96,2.33,46.67
358,,Alexandre Coeff,0.14,0.14,48.43,82.3,4.57,59.18
359,,Thibault De Smet,0.14,0.05,40.05,79,9.14,42.11
360,,Lohann Doucet,0,0,8.67,84.62,1,60
361,,Johann Lepenant,0.16,0.06,41.52,89.9,8.71,82.09
362,,Abdallah Sima,0.12,0.03,10.29,76.29,3.15,55.56
363,,Noah Fadiga,0,0,23.9,79.88,4.43,34.09
364,,Marcus Coco,0.04,0,8,75,2,56.25
365,,Cédric Hountondji,0,0,39.86,86.76,1.69,49.04
366,,Ibrahim Salah,0,0,8.62,80.36,2.46,57.14
367,,Dion Lopy,0.07,0.03,25.24,85.52,6.76,80.52
368,,Siriné Doucouré,0.08,0.08,3.75,64.44,1.17,0
369,,Qazim Laci,0,0,14.89,79.85,4.22,50
370,,Ousmane Camara,0.33,0,2,100,1.33,0
371,,Ibrahima Sissoko,0.04,0.08,23.88,77.62,4.69,62
372,,Houssem Aouar,0.06,0.06,22.69,82.37,5.38,64
373,,Remy Dugimont,0.09,0.09,5.55,67.21,2.09,100
374,,Malang Sarr,0,0,39.38,89.26,4.62,67.19
375,,Florent Ogier,0.08,0.04,34.38,79.42,2.5,46.85
376,,Łukasz Poręba,0,0.1,13.7,83.21,3.6,42.86
377,,Maghnes Akliouche,0,0,13.91,83.01,6.18,50
378,,Arbër Zeneli,0.22,0.09,15.78,76.31,5.87,47.37
379,,Ahmadou Bamba Dieng,0.08,0,7.04,73.86,1.36,50
380,,Lassine Sinayoko,0.06,0.06,15.79,77.35,5.58,50
381,,Gaëtan Charbonnier,0,0,14.5,89.66,4,100
382,,Pablo Sarabia,0.07,0,12.07,82.84,3.57,33.33
383,,Yanis Cimignani,0,0,11.63,69.89,2.5,37.5
384,,Naatan Skyttä,0,0,5.5,63.64,1,0
385,,Gaël Kakuta,0,0,7.5,80,2,50
386,,Matis Carvalho,0,0,24,35.42,0.5,32.61
387,,Alexis Tibidi,0,0,7.67,82.61,2,50
388,,Amine Salama,0.16,0.04,12.32,75.97,3.6,100
389,,Vincent Sierro,0,0,25.2,82.28,4.53,55.88
390,,Moussa Diarra,0.09,0.04,24.35,83.93,3.87,50
391,,Matthis Abline,0.07,0.03,3.7,67.57,0.93,28.57
392,,Théo Le Bris,0,0.07,20.3,81.75,5.04,37.5
393,,Yoann Salmier,0,0,44.94,82.96,4.94,41.45
394,,Nordine Kandil,0.14,0.14,8,75,2.86,0
395,,Adrien Hunou,0.12,0.03,21.03,77.9,4.68,43.48
396,,Gabriel Suazo,0.06,0.06,39.83,84.24,7.78,51.11
397,,Ayman Kari,0,0,14.6,91.78,2.8,100
398,,Nathanaël Mbuku,0,0,4.17,88,1.5,0
399,,Charles Traoré,0.08,0,15,77.22,2.5,41.67
400,,Jean-Kevin Duverne,0.06,0,32.85,73.86,6.91,49.71
401,,Xeka,0,0,38.75,90,8.13,81.25
402,,Jérôme Boateng,0,0,27.75,80.63,1.13,45.45
