#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
397,,Wesley Moraes,0.19,0,55.41,48.24,0.44,0.94
398,,Coke,0.17,0,46.43,50,0.91,1.22
399,,Sergio Castel Martínez,0.19,0,48.28,42.03,0.5,1.69
400,,Mateusz Bogusz,0,0.05,19.23,41.67,0.68,0.91
401,,Agus Medina,0.3,0,37.93,40.77,1.12,1.61
402,,Borja Garcés,0.11,0.03,42.06,42.59,1.17,1.25
403,,Quique,0.03,0,60,53.61,0.4,0.27
404,,Jordan Lukaku,0.29,0,36.36,48.72,0.14,1
405,,Juan María Alcedo,0.22,0,61.29,49.57,0.13,0.57
406,,Miguel Azeez,0.3,0,13.33,38.18,0.6,1.1
407,,Hector Hevel,0.18,0.03,34.88,41.37,1,1.1
408,,Julián Delmás,0.08,0,53.33,48,0.73,1.27
409,,Ignasi Vilarrasa,0.07,0,50,53.01,0.28,0.31
410,,Derik Lacerda,0.21,0.03,45.69,47.78,1.24,1.24
411,,Ivan Azón Monzón,0,0,51.46,44.44,1.16,0.84
412,,Erik Morán,0.24,0.04,42.11,40.48,0.44,1.24
413,,Eduardo Espiau,0.18,0,52.17,43.67,1.05,1.15
414,,Cristo González,0.12,0,39.02,41.43,0.82,0.71
415,,Daniel Lorenzo,0.14,0,20,46.43,1,0.43
416,,Rodrigo Alonso,0.21,0,61.54,55,0.68,0.79
417,,Ignacio Méndez,0,0,100,75,0,0.33
