#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
399,,Wataru Iwashita,0,0,50,58.33,0.67,0.67
400,,Kai Matsuzaki,0.09,0,50,53.66,0.64,0.36
401,,Noriyoshi Sakai,0.06,0,33.33,31.71,0.47,0.94
402,,Kazunari Ono,0.11,0,59.32,52.94,0.74,1.58
403,,Hayato Tanaka,0,0,55,58.54,1,1.5
404,,Atsushi Kurokawa,0.13,0,25,48.98,1.13,0.75
405,,Kosei Shibasaki,0.07,0,31.58,45.61,0.1,0.23
406,,Gabriel Xavier,0.04,0.04,20,27.21,0.62,1.04
407,,Ryotaro Araki,0.23,0,50,43.4,0.54,0.62
408,,Keita Yamashita,0.07,0,38.71,40,0.13,0.47
409,,Tatsuki Seko,0,0,40,48.48,0.38,0.15
410,,Yuto Nagatomo,0.07,0,58.73,53.89,0.23,0.6
411,,Shota Kobayashi,0,0,80,50,0.17,0.83
412,,Ko Yanagisawa,0,0,48.15,47.27,0.38,0.46
413,,Supachok Sarachart,0,0,0,50,0.29,0
414,,Origbaajo Ismaila,0.1,0,36.84,29.27,0.3,1.1
415,,Kashif Bangnagande,0.24,0,42.31,39.36,0.53,1
