Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Justin Ferizaj,0,0,0,0,0,0,0.75,0,0,0,0,0.25,0,0,5.25,76.19,2.75,0,0,0,0,0,0,0,0,0,0,33.33,0,0.75,4,1,3
Nando Pijnaker,0,0,72.73,0.97,0,0,1.34,1.28,0.03,2.94,0,0.28,0,0,46.53,72.33,4.19,46.59,0,0.06,0,0,1,0.28,0.22,0,70.33,62.73,0.78,1.06,32,1,2
Luke McNicholas,0,0,0,0.04,0,0,0,0,0,0.92,0.04,0,0,0,33.46,61.15,2.04,37.55,2.73,0.12,0.19,0.04,1.12,0.27,0.04,0,100,88.89,0.15,0.04,26,1,1
Gary Deegan,0,0,83.33,0.59,0,0,2.03,1.71,0,1.12,0.03,0.85,0,0,40.85,80.63,7.5,49.38,0,0.26,0,0,1.35,0.15,0.15,0.03,50.94,55.12,0.88,1.03,34,3,3
Cameron Dummigan,0,0,100,0.5,0,0,2.06,0.88,0,0.44,0,0.44,0,0.06,35.06,79.14,5.88,48.98,0,0.38,0,0,0.44,0.13,0.38,0,72.22,58.7,0.38,0.94,16,2,2
Darragh Nugent,0,0,25,0.63,0,0,1.89,0.26,0,0.42,0,0.16,0,0,13.53,78.6,2.95,25,0,0.16,0,0,0.21,0.11,0.11,0,63.64,61.05,0.68,0.89,19,1,3
Barry Coffey,0.04,0.07,80,0.89,0,3.57,1.54,0.43,0,0.54,0,0.32,0.04,0,21.57,70.7,3,42.25,0,0.04,0,0,0.79,0.25,0.07,0,43.75,54.82,0.61,0.68,28,1,3
Ben McCormack,0.05,0.09,44.44,0.59,0,0,0.45,0.18,0,0.32,0,0.14,0.18,0.18,12.45,74.45,3.45,48.15,0,0.05,0,0,0.41,0.09,0.14,0,22.22,47.44,0.86,0.41,22,1,3
Hayden Muller,0.03,0,53.85,0.3,0.03,0,1.06,0.88,0,1.94,0.03,0.06,0.03,0.03,38.3,75.79,4.94,46.32,0,0.24,0,0,0.85,0.15,0.24,0,74.14,62.91,0.33,1.03,33,1,2
Ronan Finn,0.06,0,25,0.35,0,0,1.35,0.35,0,0.35,0,0.47,0.12,0.06,17.71,80.4,5.59,35,0,0,0,0,0.06,0.12,0.29,0.06,45.45,50.72,0.35,1.12,17,3,3
Andriy Kravchuk,0,0,80,0.78,0,0,1.78,0.78,0,1,0,1,0.11,0,30.89,79.14,5.89,38.71,0,0.22,0,0,1.33,0.33,0,0,36.36,42.67,1,2.22,9,1,3
Danny Mullen,0.25,0.08,50,1.58,0.17,0,0.25,0.17,0,0.08,0,0.08,0,0.08,9.92,65.55,3.25,20,0,0,0,0,0.17,0,0.08,0,42.11,35.85,0.42,0.92,12,2,4
