Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
João Schmidt,0.05,0.05,71.43,0.68,0.05,0,1.32,1.23,0,1.5,0,0.73,0,0,50.14,84.41,8.77,54.89,0,0.14,0,0,0.68,0.14,0.23,0,62.3,54.36,0.41,1.05,22,2,3
Takanori Sugeno,0,0,50,0,0,0,0.07,0,0.04,0.78,0,0.04,0,0,45.22,76.66,0.78,45.35,2.81,0.37,0.19,0.04,0.89,0.22,0.07,0.04,100,80,0.19,0.07,27,3,1
Shinnosuke Nakatani,0.06,0.09,55.56,0.61,0.03,0,1.18,1.58,0,2.94,0.03,0.48,0,0,52.27,81.8,6.64,50.35,0,0.39,0,0,0.82,0.15,0.09,0,59.41,57.51,0.91,0.64,33,2,2
Teruhito Nakagawa,0.23,0.23,37.5,1.23,0,0,0.81,0.13,0,0.1,0,0.55,0.19,0.19,15.16,79.79,7.19,42.11,0,0.03,0,0,0.48,0,0.03,0,26.67,47.49,1.42,0.77,31,3,4
Keisuke Osako,0,0,100,0,0,0,0,0,0,0.71,0.04,0.04,0,0,25.21,68.7,0.86,39.31,2.79,0.39,0.04,0,1,0.11,0,0,100,88.89,0.21,0,28,1,1
Daiki Miya,0.07,0.04,50,0.41,0.04,0,1.04,1.74,0,4.3,0,0.33,0,0,37.26,70.78,4.3,36.36,0,0.33,0,0,0.85,0.22,0.19,0.04,61.03,58.8,1,1.22,27,2,2
Kakeru Funaki,0.14,0,25,0.71,0.14,0,0.93,1,0,1.36,0,0.21,0.07,0,26.79,74.4,5,41.67,0,0.14,0,0,0.71,0,0.07,0,44.12,53.33,0.21,0.07,14,2,2
Park Il-Kyu,0,0,0,0,0,0,0.09,0,0,1.26,0.03,0.06,0,0,45.09,75.21,1.79,40.59,2.71,0.35,0.06,0,1.21,0.09,0.03,0,69.23,68.18,0.12,0.03,34,3,1
Ryuki Miura,0,0,0,0,0,0,0.07,0,0,0.89,0.11,0.07,0,0,32.46,58.09,1.64,32.97,3.57,0.14,0.07,0,1.18,0.29,0,0,87.5,83.33,0.21,0,28,3,1
Hiroyuki Mae,0,0.06,55,0.71,0,0,1.97,1.26,0,0.97,0.03,0.91,0.06,0,43.76,79.64,11.41,51.63,0,0.32,0,0,0.91,0.18,0.06,0,33.33,52.77,1.41,1.24,34,2,3
